ReportDt|Unit|Power
10/2/2023 12:00:00 AM|Palo Verde 2|100
10/2/2023 12:00:00 AM|Palo Verde 3|100
10/2/2023 12:00:00 AM|Peach Bottom 2|100
10/2/2023 12:00:00 AM|Peach Bottom 3|81
10/2/2023 12:00:00 AM|Perry 1|100
10/2/2023 12:00:00 AM|Point Beach 1|92
10/2/2023 12:00:00 AM|Point Beach 2|100
10/2/2023 12:00:00 AM|Prairie Island 1|100
10/2/2023 12:00:00 AM|Prairie Island 2|90
10/2/2023 12:00:00 AM|Quad Cities 1|86
10/2/2023 12:00:00 AM|Quad Cities 2|100
10/2/2023 12:00:00 AM|River Bend Station 1|100
10/2/2023 12:00:00 AM|Robinson 2|100
10/2/2023 12:00:00 AM|Saint Lucie 1|100
10/2/2023 12:00:00 AM|Saint Lucie 2|100
10/2/2023 12:00:00 AM|Salem 1|82
10/2/2023 12:00:00 AM|Salem 2|100
10/2/2023 12:00:00 AM|Seabrook 1|100
10/2/2023 12:00:00 AM|Sequoyah 1|100
10/2/2023 12:00:00 AM|Sequoyah 2|100
10/2/2023 12:00:00 AM|South Texas 1|100
10/2/2023 12:00:00 AM|South Texas 2|100
10/2/2023 12:00:00 AM|Summer|100
10/2/2023 12:00:00 AM|Surry 1|100
10/2/2023 12:00:00 AM|Surry 2|100
10/2/2023 12:00:00 AM|Susquehanna 1|100
10/2/2023 12:00:00 AM|Susquehanna 2|100
10/2/2023 12:00:00 AM|Turkey Point 3|100
10/2/2023 12:00:00 AM|Turkey Point 4|0
10/2/2023 12:00:00 AM|Vogtle 1|100
10/2/2023 12:00:00 AM|Vogtle 2|70
10/2/2023 12:00:00 AM|Vogtle 3|100
10/2/2023 12:00:00 AM|Vogtle 4|0
10/2/2023 12:00:00 AM|Waterford 3|100
10/2/2023 12:00:00 AM|Watts Bar 1|100
10/2/2023 12:00:00 AM|Watts Bar 2|100
10/2/2023 12:00:00 AM|Wolf Creek 1|100
10/1/2023 12:00:00 AM|Arkansas Nuclear 1|100
